region,date,recent_cases
Admiralty,2019-05-27,72
Admiralty,2019-06-03,108
Admiralty,2019-06-10,100
Admiralty,2019-06-19,58
Admiralty,2019-06-26,51
Admiralty,2019-07-02,32
Admiralty,2019-07-08,24
Admiralty,2019-07-16,13
Admiralty,2019-07-26,15
Admiralty,2019-08-08,17
Admiralty,2019-08-16,10
Admiralty,2019-08-23,13
Admiralty,2019-08-30,15
Admiralty,2019-09-06,15
Admiralty,2019-09-13,18
Admiralty,2019-09-20,11
Admiralty,2019-09-27,15
Admiralty,2019-10-04,12
Admiralty,2019-10-11,2
Admiralty,2019-10-18,5
Admiralty,2019-10-25,1
Admiralty,2019-11-01,5
Admiralty,2019-11-08,3
Admiralty,2019-11-15,7
Admiralty,2019-11-22,4
Admiralty,2019-11-29,3
Admiralty,2019-12-13,2
Admiralty,2019-12-20,6
Admiralty,2019-12-27,3
Admiralty,2020-01-03,15
Admiralty,2020-01-10,16
Admiralty,2020-01-17,6
Admiralty,2020-01-24,12
Admiralty,2020-01-31,16
Admiralty,2020-02-07,16
Admiralty,2020-02-14,15
Admiralty,2020-02-21,12
Admiralty,2020-02-28,3
Admiralty,2020-03-06,9
Admiralty,2020-03-13,14
Admiralty,2020-03-20,11
Admiralty,2020-03-27,10
Admiralty,2020-04-03,12
Admiralty,2020-04-09,10
Admiralty,2020-04-17,11
Admiralty,2020-04-24,13
Admiralty,2020-04-30,25
Admiralty,2020-05-08,20
Admiralty,2020-05-15,24
Admiralty,2020-05-22,20
Admiralty,2020-05-29,29
Admiralty,2020-06-05,33
Admiralty,2020-07-03,64
Admiralty,2020-08-07,95
Admiralty,2020-09-18,71
Admiralty,2020-11-06,20
Ang Mo Kio,2013-05-23,-1
Ang Mo Kio,2013-05-27,-2
Ang Mo Kio,2013-06-11,-6
Ang Mo Kio,2013-06-17,-4
Ang Mo Kio,2013-06-24,-2
Ang Mo Kio,2013-07-04,-1
Ang Mo Kio,2013-07-08,-1
Ang Mo Kio,2013-07-18,-2
Ang Mo Kio,2013-07-26,-1
Ang Mo Kio,2013-08-07,-1
Ang Mo Kio,2013-08-13,-2
Ang Mo Kio,2013-08-21,-1
Ang Mo Kio,2013-08-30,-4
Ang Mo Kio,2013-09-06,-5
Ang Mo Kio,2013-09-13,-7
Ang Mo Kio,2013-10-30,-5
Ang Mo Kio,2013-11-04,-5
Ang Mo Kio,2013-11-11,-4
Ang Mo Kio,2013-11-18,-3
Ang Mo Kio,2013-11-25,16
Ang Mo Kio,2013-12-02,13
Ang Mo Kio,2013-12-09,10
Ang Mo Kio,2013-12-16,3
Ang Mo Kio,2013-12-24,7
Ang Mo Kio,2013-12-31,10
Ang Mo Kio,2014-01-06,2
Ang Mo Kio,2014-01-10,6
Ang Mo Kio,2014-01-17,10
Ang Mo Kio,2014-02-04,7
Ang Mo Kio,2014-02-14,5
Ang Mo Kio,2014-03-04,5
Ang Mo Kio,2014-03-14,10
Ang Mo Kio,2014-05-02,1
Ang Mo Kio,2014-05-12,1
Ang Mo Kio,2014-06-03,10
Ang Mo Kio,2014-06-13,4
Ang Mo Kio,2014-07-01,16
Ang Mo Kio,2014-07-14,24
Ang Mo Kio,2014-07-21,4
Ang Mo Kio,2014-07-25,12
Ang Mo Kio,2014-07-29,9
Ang Mo Kio,2014-08-01,10
Ang Mo Kio,2014-08-05,7
Ang Mo Kio,2014-08-08,13
Ang Mo Kio,2014-08-12,17
Ang Mo Kio,2014-08-15,13
Ang Mo Kio,2014-09-22,9
Ang Mo Kio,2014-09-26,7
Ang Mo Kio,2014-09-29,8
Ang Mo Kio,2014-10-03,9
Ang Mo Kio,2014-10-07,7
Ang Mo Kio,2014-10-10,8
Ang Mo Kio,2014-10-13,11
Ang Mo Kio,2014-10-17,10
Ang Mo Kio,2014-11-24,2
Ang Mo Kio,2014-11-28,5
Ang Mo Kio,2014-12-01,5
Ang Mo Kio,2014-12-05,5
