,Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),year,region
0,1 Oct,17.0,8.0,10.4,13.2,-,-,-,-,-,2022,Marine Parade
1,2 Oct,32.2,10.6,12.6,17.4,-,-,-,-,-,2022,Marine Parade
2,3 Oct,10.4,4.8,5.8,7.4,-,-,-,-,-,2022,Marine Parade
3,4 Oct,9.8,5.2,8.8,9.8,-,-,-,-,-,2022,Marine Parade
4,5 Oct,49.4,36.2,42.8,46.6,-,-,-,-,-,2022,Marine Parade
5,6 Oct,2.6,1.4,2.2,2.6,-,-,-,-,-,2022,Marine Parade
6,7 Oct,26.8,21.0,22.6,23.0,-,-,-,-,-,2022,Marine Parade
7,8 Oct,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
8,9 Oct,0.8,0.6,0.8,0.8,-,-,-,-,-,2022,Marine Parade
9,10 Oct,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
10,11 Oct,3.2,1.8,2.8,3.2,-,-,-,-,-,2022,Marine Parade
11,12 Oct,5.8,3.4,3.4,5.6,-,-,-,-,-,2022,Marine Parade
12,13 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
13,14 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Oct,36.6,9.6,11.6,19.8,-,-,-,-,-,2022,Marine Parade
16,17 Oct,12.6,7.8,9.6,11.8,-,-,-,-,-,2022,Marine Parade
17,18 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
18,19 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
19,20 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
20,21 Oct,6.8,2.4,4.0,5.8,-,-,-,-,-,2022,Marine Parade
21,22 Oct,3.4,1.0,1.6,1.8,-,-,-,-,-,2022,Marine Parade
22,23 Oct,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
23,24 Oct,0.8,0.4,0.6,0.8,-,-,-,-,-,2022,Marine Parade
24,25 Oct,13.0,5.2,7.8,9.2,-,-,-,-,-,2022,Marine Parade
25,26 Oct,0.8,0.4,0.8,0.8,-,-,-,-,-,2022,Marine Parade
26,27 Oct,0.8,0.4,0.6,0.8,-,-,-,-,-,2022,Marine Parade
27,28 Oct,1.6,0.8,1.0,1.0,-,-,-,-,-,2022,Marine Parade
28,29 Oct,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
29,30 Oct,43.8,17.4,26.6,33.2,-,-,-,-,-,2022,Marine Parade
30,31 Oct,10.6,10.4,18.6,26.2,-,-,-,-,-,2022,Marine Parade
0,1 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
1,2 Sep,2.4,1.4,2.2,2.4,-,-,-,-,-,2022,Marine Parade
2,3 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
3,4 Sep,1.4,0.6,1.0,1.2,-,-,-,-,-,2022,Marine Parade
4,5 Sep,0.4,0.4,0.4,0.4,-,-,-,-,-,2022,Marine Parade
5,6 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
6,7 Sep,6.8,2.4,2.4,4.6,-,-,-,-,-,2022,Marine Parade
7,8 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
8,9 Sep,1.4,0.6,0.8,1.0,-,-,-,-,-,2022,Marine Parade
9,10 Sep,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
10,11 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
11,12 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 Sep,6.0,5.8,6.0,6.0,-,-,-,-,-,2022,Marine Parade
13,14 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
16,17 Sep,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
17,18 Sep,40.4,12.2,16.0,23.6,-,-,-,-,-,2022,Marine Parade
18,19 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
19,20 Sep,13.4,13.0,13.2,13.2,-,-,-,-,-,2022,Marine Parade
20,21 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
21,22 Sep,2.2,0.8,1.4,1.8,-,-,-,-,-,2022,Marine Parade
22,23 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
23,24 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
24,25 Sep,28.4,12.4,18.2,27.0,-,-,-,-,-,2022,Marine Parade
25,26 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
26,27 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
27,28 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
28,29 Sep,24.4,22.0,24.2,24.4,-,-,-,-,-,2022,Marine Parade
29,30 Sep,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
0,1 Aug,1.0,0.8,1.0,1.0,-,-,-,-,-,2022,Marine Parade
1,2 Aug,7.2,1.6,2.4,4.2,-,-,-,-,-,2022,Marine Parade
2,3 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
3,4 Aug,1.0,0.4,0.6,0.8,-,-,-,-,-,2022,Marine Parade
4,5 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
5,6 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
6,7 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
7,8 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
8,9 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
9,10 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
10,11 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
11,12 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 Aug,5.2,3.4,5.0,5.2,-,-,-,-,-,2022,Marine Parade
13,14 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Aug,1.6,1.6,1.6,1.6,-,-,-,-,-,2022,Marine Parade
16,17 Aug,0.6,0.6,0.6,0.6,-,-,-,-,-,2022,Marine Parade
17,18 Aug,4.4,4.4,4.4,4.4,-,-,-,-,-,2022,Marine Parade
18,19 Aug,0.4,0.2,0.4,0.4,-,-,-,-,-,2022,Marine Parade
19,20 Aug,7.0,5.4,5.8,5.8,-,-,-,-,-,2022,Marine Parade
20,21 Aug,30.6,18.4,18.6,18.6,-,-,-,-,-,2022,Marine Parade
21,22 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
22,23 Aug,19.0,9.0,16.0,16.6,-,-,-,-,-,2022,Marine Parade
23,24 Aug,5.6,3.0,5.0,5.4,-,-,-,-,-,2022,Marine Parade
24,25 Aug,1.8,0.6,0.6,0.8,-,-,-,-,-,2022,Marine Parade
25,26 Aug,4.8,3.2,3.2,3.2,-,-,-,-,-,2022,Marine Parade
26,27 Aug,13.8,4.8,5.6,8.0,-,-,-,-,-,2022,Marine Parade
27,28 Aug,2.4,2.0,2.2,2.4,-,-,-,-,-,2022,Marine Parade
28,29 Aug,12.8,10.6,12.0,12.2,-,-,-,-,-,2022,Marine Parade
29,30 Aug,1.4,0.8,0.8,0.8,-,-,-,-,-,2022,Marine Parade
30,31 Aug,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
0,1 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
1,2 Jul,1.2,1.2,1.2,1.2,-,-,-,-,-,2022,Marine Parade
2,3 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
3,4 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
4,5 Jul,3.4,1.8,2.0,2.0,-,-,-,-,-,2022,Marine Parade
5,6 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
6,7 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
7,8 Jul,7.6,3.4,6.2,7.6,-,-,-,-,-,2022,Marine Parade
8,9 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
9,10 Jul,23.0,19.4,22.8,23.0,-,-,-,-,-,2022,Marine Parade
10,11 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
11,12 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
13,14 Jul,4.4,2.4,2.4,2.4,-,-,-,-,-,2022,Marine Parade
14,15 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
16,17 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
17,18 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
18,19 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
19,20 Jul,28.2,22.8,26.2,26.4,-,-,-,-,-,2022,Marine Parade
20,21 Jul,1.6,0.8,0.8,1.0,-,-,-,-,-,2022,Marine Parade
21,22 Jul,20.6,17.0,20.2,20.6,-,-,-,-,-,2022,Marine Parade
22,23 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
23,24 Jul,7.6,4.0,4.0,4.0,-,-,-,-,-,2022,Marine Parade
24,25 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
25,26 Jul,8.0,1.8,2.4,3.6,-,-,-,-,-,2022,Marine Parade
26,27 Jul,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
27,28 Jul,2.4,2.2,2.2,2.4,-,-,-,-,-,2022,Marine Parade
28,29 Jul,13.2,9.8,10.8,11.6,-,-,-,-,-,2022,Marine Parade
29,30 Jul,0.0,0.0,0.0,0.6,-,-,-,-,-,2022,Marine Parade
30,31 Jul,1.8,1.8,1.8,1.8,-,-,-,-,-,2022,Marine Parade
0,1 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
1,2 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
2,3 Jun,1.0,0.4,0.6,0.6,-,-,-,-,-,2022,Marine Parade
3,4 Jun,3.8,3.2,3.4,3.4,-,-,-,-,-,2022,Marine Parade
4,5 Jun,1.6,1.4,1.6,1.6,-,-,-,-,-,2022,Marine Parade
5,6 Jun,7.4,7.0,7.4,7.4,-,-,-,-,-,2022,Marine Parade
6,7 Jun,3.0,2.2,2.8,2.8,-,-,-,-,-,2022,Marine Parade
7,8 Jun,22.0,18.2,19.8,19.8,-,-,-,-,-,2022,Marine Parade
8,9 Jun,4.6,3.6,3.6,18.4,-,-,-,-,-,2022,Marine Parade
9,10 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
10,11 Jun,16.4,7.0,10.8,12.2,-,-,-,-,-,2022,Marine Parade
11,12 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 Jun,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
13,14 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Jun,9.6,8.8,8.8,8.8,-,-,-,-,-,2022,Marine Parade
15,16 Jun,7.6,6.2,6.2,6.6,-,-,-,-,-,2022,Marine Parade
16,17 Jun,0.0,0.2,0.4,0.6,-,-,-,-,-,2022,Marine Parade
17,18 Jun,0.4,0.4,0.4,0.4,-,-,-,-,-,2022,Marine Parade
18,19 Jun,1.0,1.0,1.0,1.0,-,-,-,-,-,2022,Marine Parade
19,20 Jun,8.6,2.2,3.8,6.8,-,-,-,-,-,2022,Marine Parade
20,21 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
21,22 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
22,23 Jun,4.6,3.4,3.6,3.6,-,-,-,-,-,2022,Marine Parade
23,24 Jun,0.8,0.4,0.4,0.8,-,-,-,-,-,2022,Marine Parade
24,25 Jun,33.2,18.2,21.6,29.8,-,-,-,-,-,2022,Marine Parade
25,26 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
26,27 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
27,28 Jun,0.4,0.2,0.2,0.4,-,-,-,-,-,2022,Marine Parade
28,29 Jun,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
29,30 Jun,11.8,6.6,10.2,11.6,-,-,-,-,-,2022,Marine Parade
0,1 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
1,2 May,1.8,1.4,1.8,1.8,-,-,-,-,-,2022,Marine Parade
2,3 May,5.2,2.0,3.4,5.2,-,-,-,-,-,2022,Marine Parade
3,4 May,1.0,0.6,0.8,0.8,-,-,-,-,-,2022,Marine Parade
4,5 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
5,6 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
6,7 May,10.4,7.6,8.2,8.6,-,-,-,-,-,2022,Marine Parade
7,8 May,3.2,1.2,1.8,2.0,-,-,-,-,-,2022,Marine Parade
8,9 May,0.6,0.4,0.6,0.6,-,-,-,-,-,2022,Marine Parade
9,10 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
10,11 May,8.4,5.4,6.6,7.0,-,-,-,-,-,2022,Marine Parade
11,12 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
13,14 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 May,7.4,4.4,6.4,7.4,-,-,-,-,-,2022,Marine Parade
16,17 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
17,18 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
18,19 May,23.6,21.0,23.0,23.6,-,-,-,-,-,2022,Marine Parade
19,20 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
20,21 May,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
21,22 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
22,23 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
23,24 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
24,25 May,15.6,10.2,10.6,10.6,-,-,-,-,-,2022,Marine Parade
25,26 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
26,27 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
27,28 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
28,29 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
29,30 May,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
30,31 May,4.8,4.8,4.8,4.8,-,-,-,-,-,2022,Marine Parade
0,1 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
1,2 Apr,1.0,0.8,1.0,1.0,-,-,-,-,-,2022,Marine Parade
2,3 Apr,10.2,6.6,8.4,10.0,-,-,-,-,-,2022,Marine Parade
3,4 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
4,5 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
5,6 Apr,1.4,1.2,1.2,1.4,-,-,-,-,-,2022,Marine Parade
6,7 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
7,8 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
8,9 Apr,2.6,1.8,2.0,2.4,-,-,-,-,-,2022,Marine Parade
9,10 Apr,5.0,5.0,5.0,5.0,-,-,-,-,-,2022,Marine Parade
10,11 Apr,2.6,1.0,1.2,2.4,-,-,-,-,-,2022,Marine Parade
11,12 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 Apr,2.4,2.4,2.4,2.4,-,-,-,-,-,2022,Marine Parade
13,14 Apr,3.4,2.4,3.4,3.4,-,-,-,-,-,2022,Marine Parade
14,15 Apr,14.6,8.2,12.4,14.0,-,-,-,-,-,2022,Marine Parade
15,16 Apr,8.2,5.2,7.6,8.2,-,-,-,-,-,2022,Marine Parade
16,17 Apr,25.2,8.0,13.0,20.4,-,-,-,-,-,2022,Marine Parade
17,18 Apr,15.0,2.4,4.8,7.0,-,-,-,-,-,2022,Marine Parade
18,19 Apr,3.6,2.0,2.0,2.0,-,-,-,-,-,2022,Marine Parade
19,20 Apr,1.0,0.6,0.6,0.8,-,-,-,-,-,2022,Marine Parade
20,21 Apr,60.2,28.8,53.4,58.4,-,-,-,-,-,2022,Marine Parade
21,22 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
22,23 Apr,7.6,7.6,7.6,7.6,-,-,-,-,-,2022,Marine Parade
23,24 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
24,25 Apr,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
25,26 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
26,27 Apr,0.8,0.4,0.4,0.6,-,-,-,-,-,2022,Marine Parade
27,28 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
28,29 Apr,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
29,30 Apr,10.6,6.8,6.8,6.8,-,-,-,-,-,2022,Marine Parade
0,1 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
1,2 Mar,17.4,8.2,15.4,17.2,-,-,-,-,-,2022,Marine Parade
2,3 Mar,12.0,10.0,10.6,10.8,-,-,-,-,-,2022,Marine Parade
3,4 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
4,5 Mar,1.0,0.6,0.6,0.6,-,-,-,-,-,2022,Marine Parade
5,6 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
6,7 Mar,2.6,1.8,2.2,2.6,-,-,-,-,-,2022,Marine Parade
7,8 Mar,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
8,9 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
9,10 Mar,7.0,4.8,5.8,7.0,-,-,-,-,-,2022,Marine Parade
10,11 Mar,5.2,3.0,4.6,5.0,-,-,-,-,-,2022,Marine Parade
11,12 Mar,42.2,32.0,39.0,41.8,-,-,-,-,-,2022,Marine Parade
12,13 Mar,0.6,0.6,0.6,0.6,-,-,-,-,-,2022,Marine Parade
13,14 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Mar,29.0,14.2,20.2,22.6,-,-,-,-,-,2022,Marine Parade
15,16 Mar,0.8,0.8,0.8,0.8,-,-,-,-,-,2022,Marine Parade
16,17 Mar,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
17,18 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
18,19 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
19,20 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
20,21 Mar,7.8,5.2,6.2,7.4,-,-,-,-,-,2022,Marine Parade
21,22 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
22,23 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
23,24 Mar,0.6,0.6,0.6,0.6,-,-,-,-,-,2022,Marine Parade
24,25 Mar,13.2,12.6,12.6,12.6,-,-,-,-,-,2022,Marine Parade
25,26 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
26,27 Mar,1.4,1.4,1.4,1.4,-,-,-,-,-,2022,Marine Parade
27,28 Mar,14.0,8.6,10.8,13.8,-,-,-,-,-,2022,Marine Parade
28,29 Mar,44.4,26.0,39.6,42.0,-,-,-,-,-,2022,Marine Parade
29,30 Mar,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
30,31 Mar,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
0,1 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
1,2 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
2,3 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
3,4 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
4,5 Feb,3.8,3.8,3.8,3.8,-,-,-,-,-,2022,Marine Parade
5,6 Feb,21.0,6.0,6.4,7.6,-,-,-,-,-,2022,Marine Parade
6,7 Feb,0.4,0.2,0.4,0.4,-,-,-,-,-,2022,Marine Parade
7,8 Feb,1.0,0.4,0.6,0.6,-,-,-,-,-,2022,Marine Parade
8,9 Feb,43.0,16.4,26.2,35.6,-,-,-,-,-,2022,Marine Parade
9,10 Feb,17.0,2.8,4.4,6.0,-,-,-,-,-,2022,Marine Parade
10,11 Feb,11.4,5.6,7.0,8.8,-,-,-,-,-,2022,Marine Parade
11,12 Feb,0.8,0.8,0.8,0.8,-,-,-,-,-,2022,Marine Parade
12,13 Feb,0.6,0.4,0.4,0.6,-,-,-,-,-,2022,Marine Parade
13,14 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Feb,3.8,3.2,3.4,3.6,-,-,-,-,-,2022,Marine Parade
16,17 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
17,18 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
18,19 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
19,20 Feb,11.0,8.8,10.4,11.0,-,-,-,-,-,2022,Marine Parade
20,21 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
21,22 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
22,23 Feb,15.0,14.6,15.0,15.0,-,-,-,-,-,2022,Marine Parade
23,24 Feb,18.2,5.8,10.8,12.0,-,-,-,-,-,2022,Marine Parade
24,25 Feb,5.0,5.0,5.0,5.0,-,-,-,-,-,2022,Marine Parade
25,26 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
26,27 Feb,22.8,16.4,22.6,22.8,-,-,-,-,-,2022,Marine Parade
27,28 Feb,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
0,1 Jan,10.8,2.4,3.0,4.2,-,-,-,-,-,2022,Marine Parade
1,2 Jan,32.0,3.2,6.2,10.8,-,-,-,-,-,2022,Marine Parade
2,3 Jan,7.0,6.2,6.4,6.6,-,-,-,-,-,2022,Marine Parade
3,4 Jan,2.0,0.6,1.2,1.6,-,-,-,-,-,2022,Marine Parade
4,5 Jan,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
5,6 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
6,7 Jan,9.8,6.2,9.6,9.8,-,-,-,-,-,2022,Marine Parade
7,8 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
8,9 Jan,0.2,0.2,0.2,0.2,-,-,-,-,-,2022,Marine Parade
9,10 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
10,11 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
11,12 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
12,13 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
13,14 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
14,15 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
15,16 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
16,17 Jan,4.8,4.8,4.8,4.8,-,-,-,-,-,2022,Marine Parade
17,18 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
18,19 Jan,5.4,4.8,4.8,4.8,-,-,-,-,-,2022,Marine Parade
19,20 Jan,2.0,1.6,1.6,2.0,-,-,-,-,-,2022,Marine Parade
20,21 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
21,22 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
22,23 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
23,24 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
24,25 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
25,26 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
26,27 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
27,28 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
28,29 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
29,30 Jan,44.6,38.6,44.2,44.6,-,-,-,-,-,2022,Marine Parade
30,31 Jan,0.0,0.0,0.0,0.0,-,-,-,-,-,2022,Marine Parade
0,1 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
1,2 Dec,1.2,0.6,0.6,1.0,-,-,-,-,-,2021,Marine Parade
2,3 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
3,4 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
4,5 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
5,6 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
6,7 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
7,8 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
8,9 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
9,10 Dec,36.6,13.6,14.6,16.0,-,-,-,-,-,2021,Marine Parade
10,11 Dec,22.6,14.4,18.4,20.0,-,-,-,-,-,2021,Marine Parade
11,12 Dec,0.0,0.0,0.0,0.0,-,-,-,-,-,2021,Marine Parade
